id,title,main_picture/medium,main_picture/large,start_date,mean,media_type,status,genres/0/id,genres/0/name,genres/1/id,genres/1/name,genres/2/id,genres/2/name,genres/3/id,genres/3/name,num_episodes,start_season/year,start_season/season,average_episode_duration,rating,studios/0/id,studios/0/name,genres/4/id,genres/4/name,genres/5/id,genres/5/name,genres/6/id,genres/6/name,genres/7/id,genres/7/name,studios/1/id,studios/1/name,studios/2/id,studios/2/name,genres/8/id,genres/8/name,genres/9/id,genres/9/name,message,error,genres/10/id,genres/10/name
32281,Kimi no Na wa.,https://api-cdn.myanimelist.net/images/anime/5/87048.jpg,https://api-cdn.myanimelist.net/images/anime/5/87048l.jpg,2016-08-26,8.95,movie,finished_airing,22,Romance,37,Supernatural,23,School,8,Drama,1,2016,summer,6391,pg_13,291,CoMix Wave Films,,,,,,,,,,,,,,,,,,,,
5114,Fullmetal Alchemist: Brotherhood,https://api-cdn.myanimelist.net/images/anime/1223/96541.jpg,https://api-cdn.myanimelist.net/images/anime/1223/96541l.jpg,2009-04-05,9.18,tv,finished_airing,1,Action,38,Military,2,Adventure,4,Comedy,64,2009,spring,1460,r,4,Bones,8,Drama,16,Magic,10,Fantasy,27,Shounen,,,,,,,,,,,,
28977,Gintama°,https://api-cdn.myanimelist.net/images/anime/3/72078.jpg,https://api-cdn.myanimelist.net/images/anime/3/72078l.jpg,2015-04-08,9.1,tv,finished_airing,1,Action,4,Comedy,13,Historical,20,Parody,51,2015,spring,1440,pg_13,1258,Bandai Namco Pictures,21,Samurai,24,Sci-Fi,27,Shounen,,,,,,,,,,,,,,
9253,Steins;Gate,https://api-cdn.myanimelist.net/images/anime/5/73199.jpg,https://api-cdn.myanimelist.net/images/anime/5/73199l.jpg,2011-04-06,9.11,tv,finished_airing,41,Thriller,24,Sci-Fi,,,,,24,2011,spring,1460,pg_13,314,White Fox,,,,,,,,,,,,,,,,,,,,
9969,Gintama',https://api-cdn.myanimelist.net/images/anime/4/50361.jpg,https://api-cdn.myanimelist.net/images/anime/4/50361l.jpg,2011-04-04,9.07,tv,finished_airing,1,Action,24,Sci-Fi,4,Comedy,13,Historical,51,2011,spring,1460,pg_13,14,Sunrise,20,Parody,21,Samurai,27,Shounen,,,,,,,,,,,,,,
32935,Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,https://api-cdn.myanimelist.net/images/anime/7/81992.jpg,https://api-cdn.myanimelist.net/images/anime/7/81992l.jpg,2016-10-08,8.86,tv,finished_airing,4,Comedy,30,Sports,8,Drama,23,School,10,2016,fall,1440,pg_13,10,Production I.G,27,Shounen,,,,,,,,,,,,,,,,,,
11061,Hunter x Hunter (2011),https://api-cdn.myanimelist.net/images/anime/11/33657.jpg,https://api-cdn.myanimelist.net/images/anime/11/33657l.jpg,2011-10-02,9.09,tv,finished_airing,1,Action,2,Adventure,10,Fantasy,27,Shounen,148,2011,fall,1417,pg_13,11,Madhouse,31,Super Power,,,,,,,,,,,,,,,,,,
820,Ginga Eiyuu Densetsu,https://api-cdn.myanimelist.net/images/anime/13/13225.jpg,https://api-cdn.myanimelist.net/images/anime/13/13225l.jpg,1988-01-08,9.07,ova,finished_airing,38,Military,24,Sci-Fi,29,Space,8,Drama,110,1988,winter,1560,r,8,Artland,,,,,,,,,207,Magic Bus,,,,,,,,,,
15335,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,https://api-cdn.myanimelist.net/images/anime/10/51723.jpg,https://api-cdn.myanimelist.net/images/anime/10/51723l.jpg,2013-07-06,8.95,movie,finished_airing,1,Action,24,Sci-Fi,4,Comedy,13,Historical,1,2013,summer,6600,pg_13,14,Sunrise,20,Parody,21,Samurai,27,Shounen,,,,,,,,,,,,,,
15417,Gintama': Enchousen,https://api-cdn.myanimelist.net/images/anime/6/75172.jpg,https://api-cdn.myanimelist.net/images/anime/6/75172l.jpg,2012-10-04,9.04,tv,finished_airing,1,Action,4,Comedy,13,Historical,20,Parody,13,2012,fall,1460,pg_13,14,Sunrise,21,Samurai,24,Sci-Fi,27,Shounen,,,,,,,,,,,,,,
4181,Clannad: After Story,https://api-cdn.myanimelist.net/images/anime/13/24647.jpg,https://api-cdn.myanimelist.net/images/anime/13/24647l.jpg,2008-10-03,8.96,tv,finished_airing,36,Slice of Life,4,Comedy,37,Supernatural,8,Drama,24,2008,fall,1460,pg_13,2,Kyoto Animation,22,Romance,,,,,,,,,,,,,,,,,,
28851,Koe no Katachi,https://api-cdn.myanimelist.net/images/anime/1122/96435.jpg,https://api-cdn.myanimelist.net/images/anime/1122/96435l.jpg,2016-09-17,8.99,movie,finished_airing,8,Drama,23,School,27,Shounen,,,1,2016,summer,7803,pg_13,2,Kyoto Animation,,,,,,,,,,,,,,,,,,,,
918,Gintama,https://api-cdn.myanimelist.net/images/anime/10/73274.jpg,https://api-cdn.myanimelist.net/images/anime/10/73274l.jpg,2006-04-04,8.96,tv,finished_airing,1,Action,4,Comedy,13,Historical,20,Parody,201,2006,spring,1494,pg_13,14,Sunrise,21,Samurai,24,Sci-Fi,27,Shounen,,,,,,,,,,,,,,
2904,Code Geass: Hangyaku no Lelouch R2,https://api-cdn.myanimelist.net/images/anime/4/9391.jpg,https://api-cdn.myanimelist.net/images/anime/4/9391l.jpg,2008-04-06,8.91,tv,finished_airing,1,Action,38,Military,24,Sci-Fi,31,Super Power,25,2008,spring,1440,r,14,Sunrise,8,Drama,18,Mecha,,,,,,,,,,,,,,,,
28891,Haikyuu!! Second Season,https://api-cdn.myanimelist.net/images/anime/9/76662.jpg,https://api-cdn.myanimelist.net/images/anime/9/76662l.jpg,2015-10-04,8.72,tv,finished_airing,4,Comedy,30,Sports,8,Drama,23,School,25,2015,fall,1440,pg_13,10,Production I.G,27,Shounen,,,,,,,,,,,,,,,,,,
199,Sen to Chihiro no Kamikakushi,https://api-cdn.myanimelist.net/images/anime/6/79597.jpg,https://api-cdn.myanimelist.net/images/anime/6/79597l.jpg,2001-07-20,8.82,movie,finished_airing,2,Adventure,37,Supernatural,8,Drama,,,1,2001,summer,7500,pg,21,Studio Ghibli,,,,,,,,,,,,,,,,,,,,
23273,Shigatsu wa Kimi no Uso,https://api-cdn.myanimelist.net/images/anime/3/67177.jpg,https://api-cdn.myanimelist.net/images/anime/3/67177l.jpg,2014-10-10,8.73,tv,finished_airing,8,Drama,19,Music,22,Romance,23,School,22,2014,fall,1375,pg_13,56,A-1 Pictures,27,Shounen,,,,,,,,,,,,,,,,,,
24701,Mushishi Zoku Shou 2nd Season,https://api-cdn.myanimelist.net/images/anime/9/68095.jpg,https://api-cdn.myanimelist.net/images/anime/9/68095l.jpg,2014-10-19,8.76,tv,finished_airing,2,Adventure,10,Fantasy,13,Historical,7,Mystery,10,2014,fall,1430,pg_13,8,Artland,42,Seinen,36,Slice of Life,37,Supernatural,,,,,,,,,,,,,,
12355,Ookami Kodomo no Ame to Yuki,https://api-cdn.myanimelist.net/images/anime/9/35721.jpg,https://api-cdn.myanimelist.net/images/anime/9/35721l.jpg,2012-07-21,8.63,movie,finished_airing,10,Fantasy,36,Slice of Life,,,,,1,2012,summer,7020,pg,555,Studio Chizu,,,,,,,,,,,,,,,,,,,,
1575,Code Geass: Hangyaku no Lelouch,https://api-cdn.myanimelist.net/images/anime/5/50331.jpg,https://api-cdn.myanimelist.net/images/anime/5/50331l.jpg,2006-10-06,8.71,tv,finished_airing,1,Action,38,Military,24,Sci-Fi,31,Super Power,25,2006,fall,1440,r,14,Sunrise,8,Drama,18,Mecha,23,School,,,,,,,,,,,,,,
263,Hajime no Ippo,https://api-cdn.myanimelist.net/images/anime/4/86334.jpg,https://api-cdn.myanimelist.net/images/anime/4/86334l.jpg,2000-10-04,8.74,tv,finished_airing,4,Comedy,30,Sports,8,Drama,27,Shounen,75,2000,fall,1380,pg_13,11,Madhouse,,,,,,,,,,,,,,,,,,,,
44,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,https://api-cdn.myanimelist.net/images/anime/1807/102419.jpg,https://api-cdn.myanimelist.net/images/anime/1807/102419l.jpg,1999-02-20,8.73,ova,finished_airing,1,Action,13,Historical,8,Drama,22,Romance,4,1999,winter,1800,r,37,Studio Deen,17,Martial Arts,21,Samurai,27,Shounen,,,,,,,,,,,,,,
1,Cowboy Bebop,https://api-cdn.myanimelist.net/images/anime/4/19644.jpg,https://api-cdn.myanimelist.net/images/anime/4/19644l.jpg,1998-04-03,8.78,tv,finished_airing,1,Action,2,Adventure,4,Comedy,8,Drama,26,1998,spring,1440,r,14,Sunrise,24,Sci-Fi,29,Space,,,,,,,,,,,,,,,,
30276,One Punch Man,https://api-cdn.myanimelist.net/images/anime/12/76049.jpg,https://api-cdn.myanimelist.net/images/anime/12/76049l.jpg,2015-10-05,8.56,tv,finished_airing,1,Action,24,Sci-Fi,4,Comedy,20,Parody,12,2015,fall,1460,r,11,Madhouse,31,Super Power,37,Supernatural,,,,,,,,,,,,,,,,
164,Mononoke Hime,https://api-cdn.myanimelist.net/images/anime/7/75919.jpg,https://api-cdn.myanimelist.net/images/anime/7/75919l.jpg,1997-07-12,8.71,movie,finished_airing,1,Action,2,Adventure,10,Fantasy,,,1,1997,summer,8100,pg_13,21,Studio Ghibli,,,,,,,,,,,,,,,,,,,,
7311,Suzumiya Haruhi no Shoushitsu,https://api-cdn.myanimelist.net/images/anime/1248/112352.jpg,https://api-cdn.myanimelist.net/images/anime/1248/112352l.jpg,2010-02-06,8.65,movie,finished_airing,4,Comedy,7,Mystery,22,Romance,23,School,1,2010,winter,9720,pg_13,2,Kyoto Animation,24,Sci-Fi,37,Supernatural,,,,,,,,,,,,,,,,
17074,Monogatari Series: Second Season,https://api-cdn.myanimelist.net/images/anime/3/52133.jpg,https://api-cdn.myanimelist.net/images/anime/3/52133l.jpg,2013-07-07,8.78,tv,finished_airing,7,Mystery,4,Comedy,37,Supernatural,22,Romance,26,2013,summer,1440,r,44,Shaft,32,Vampire,,,,,,,,,,,,,,,,,,
21939,Mushishi Zoku Shou,https://api-cdn.myanimelist.net/images/anime/13/58533.jpg,https://api-cdn.myanimelist.net/images/anime/13/58533l.jpg,2014-04-05,8.72,tv,finished_airing,2,Adventure,36,Slice of Life,7,Mystery,13,Historical,10,2014,spring,1440,pg_13,8,Artland,37,Supernatural,10,Fantasy,42,Seinen,,,,,,,,,,,,,,
457,Mushishi,https://api-cdn.myanimelist.net/images/anime/2/73862.jpg,https://api-cdn.myanimelist.net/images/anime/2/73862l.jpg,2005-10-23,8.69,tv,finished_airing,2,Adventure,36,Slice of Life,7,Mystery,13,Historical,26,2005,fall,1500,pg_13,8,Artland,37,Supernatural,10,Fantasy,42,Seinen,,,,,,,,,,,,,,
2001,Tengen Toppa Gurren Lagann,https://api-cdn.myanimelist.net/images/anime/4/5123.jpg,https://api-cdn.myanimelist.net/images/anime/4/5123l.jpg,2007-04-01,8.66,tv,finished_airing,1,Action,2,Adventure,4,Comedy,18,Mecha,27,2007,spring,1460,pg_13,6,Gainax,24,Sci-Fi,,,,,,,,,,,,,,,,,,
245,Great Teacher Onizuka,https://api-cdn.myanimelist.net/images/anime/13/11460.jpg,https://api-cdn.myanimelist.net/images/anime/13/11460l.jpg,1999-06-30,8.7,tv,finished_airing,36,Slice of Life,4,Comedy,8,Drama,23,School,43,1999,summer,1550,r,1,Studio Pierrot,27,Shounen,,,,,,,,,,,,,,,,,,
32983,Natsume Yuujinchou Go,https://api-cdn.myanimelist.net/images/anime/11/81755.jpg,https://api-cdn.myanimelist.net/images/anime/11/81755l.jpg,2016-10-05,8.59,tv,finished_airing,36,Slice of Life,6,Demons,37,Supernatural,8,Drama,11,2016,fall,1430,pg_13,1119,Shuka,25,Shoujo,,,,,,,,,,,,,,,,,,
5258,Hajime no Ippo: New Challenger,https://api-cdn.myanimelist.net/images/anime/8/56617.jpg,https://api-cdn.myanimelist.net/images/anime/8/56617l.jpg,2009-01-07,8.67,tv,finished_airing,4,Comedy,30,Sports,8,Drama,27,Shounen,26,2009,winter,1380,pg_13,11,Madhouse,,,,,,,,,,,,,,,,,,,,
28957,Mushishi Zoku Shou: Suzu no Shizuku,https://api-cdn.myanimelist.net/images/anime/9/72689.jpg,https://api-cdn.myanimelist.net/images/anime/9/72689l.jpg,2015-05-16,8.63,movie,finished_airing,2,Adventure,10,Fantasy,13,Historical,7,Mystery,1,2015,spring,2820,pg_13,8,Artland,42,Seinen,36,Slice of Life,37,Supernatural,,,,,,,,,,,,,,
11665,Natsume Yuujinchou Shi,https://api-cdn.myanimelist.net/images/anime/3/37449.jpg,https://api-cdn.myanimelist.net/images/anime/3/37449l.jpg,2012-01-03,8.67,tv,finished_airing,36,Slice of Life,6,Demons,37,Supernatural,8,Drama,13,2012,winter,1440,pg_13,112,Brain's Base,25,Shoujo,,,,,,,,,,,,,,,,,,
431,Howl no Ugoku Shiro,https://api-cdn.myanimelist.net/images/anime/5/75810.jpg,https://api-cdn.myanimelist.net/images/anime/5/75810l.jpg,2004-11-20,8.67,movie,finished_airing,2,Adventure,8,Drama,10,Fantasy,22,Romance,1,2004,fall,7140,g,21,Studio Ghibli,,,,,,,,,,,,,,,,,,,,
11741,Fate/Zero 2nd Season,https://api-cdn.myanimelist.net/images/anime/8/41125.jpg,https://api-cdn.myanimelist.net/images/anime/8/41125l.jpg,2012-04-08,8.59,tv,finished_airing,1,Action,37,Supernatural,16,Magic,10,Fantasy,12,2012,spring,1440,r,43,ufotable,,,,,,,,,,,,,,,,,,,,
31757,Kizumonogatari II: Nekketsu-hen,https://api-cdn.myanimelist.net/images/anime/8/80930.jpg,https://api-cdn.myanimelist.net/images/anime/8/80930l.jpg,2016-08-19,8.61,movie,finished_airing,1,Action,7,Mystery,37,Supernatural,32,Vampire,1,2016,summer,3840,r,44,Shaft,,,,,,,,,,,,,,,,,,,,
19,Monster,https://api-cdn.myanimelist.net/images/anime/10/18793.jpg,https://api-cdn.myanimelist.net/images/anime/10/18793l.jpg,2004-04-07,8.77,tv,finished_airing,8,Drama,14,Horror,7,Mystery,39,Police,74,2004,spring,1440,r+,11,Madhouse,40,Psychological,42,Seinen,41,Thriller,,,,,,,,,,,,,,
12365,Bakuman. 3rd Season,https://api-cdn.myanimelist.net/images/anime/6/41845.jpg,https://api-cdn.myanimelist.net/images/anime/6/41845l.jpg,2012-10-06,8.58,tv,finished_airing,4,Comedy,8,Drama,22,Romance,27,Shounen,25,2012,fall,1470,pg_13,7,J.C.Staff,,,,,,,,,,,,,,,,,,,,
1535,Death Note,https://api-cdn.myanimelist.net/images/anime/9/9453.jpg,https://api-cdn.myanimelist.net/images/anime/9/9453l.jpg,2006-10-04,8.63,tv,finished_airing,7,Mystery,39,Police,40,Psychological,37,Supernatural,37,2006,fall,1380,r,11,Madhouse,41,Thriller,27,Shounen,,,,,,,,,,,,,,,,
32366,Gintama°: Aizome Kaori-hen,https://api-cdn.myanimelist.net/images/anime/8/79704.jpg,https://api-cdn.myanimelist.net/images/anime/8/79704l.jpg,2016-08-04,8.41,ova,finished_airing,4,Comedy,20,Parody,,,,,2,2016,summer,1566,pg_13,1258,Bandai Namco Pictures,,,,,,,,,,,,,,,,,,,,
30654,Ansatsu Kyoushitsu 2nd Season,https://api-cdn.myanimelist.net/images/anime/8/77966.jpg,https://api-cdn.myanimelist.net/images/anime/8/77966l.jpg,2016-01-08,8.53,tv,finished_airing,1,Action,4,Comedy,23,School,27,Shounen,25,2016,winter,1380,pg_13,456,Lerche,,,,,,,,,,,,,,,,,,,,
20583,Haikyuu!!,https://api-cdn.myanimelist.net/images/anime/7/76014.jpg,https://api-cdn.myanimelist.net/images/anime/7/76014l.jpg,2014-04-06,8.52,tv,finished_airing,4,Comedy,30,Sports,8,Drama,23,School,25,2014,spring,1440,pg_13,10,Production I.G,27,Shounen,,,,,,,,,,,,,,,,,,
19647,Hajime no Ippo: Rising,https://api-cdn.myanimelist.net/images/anime/6/56147.jpg,https://api-cdn.myanimelist.net/images/anime/6/56147l.jpg,2013-10-06,8.59,tv,finished_airing,4,Comedy,30,Sports,8,Drama,27,Shounen,25,2013,fall,1320,pg_13,11,Madhouse,,,,,,,,,569,MAPPA,,,,,,,,,,
4282,Kara no Kyoukai 5: Mujun Rasen,https://api-cdn.myanimelist.net/images/anime/8/9246.jpg,https://api-cdn.myanimelist.net/images/anime/8/9246l.jpg,2008-08-16,8.56,movie,finished_airing,1,Action,7,Mystery,37,Supernatural,8,Drama,1,2008,summer,6894,r,43,ufotable,22,Romance,41,Thriller,,,,,,,,,,,,,,,,
10379,Natsume Yuujinchou San,https://api-cdn.myanimelist.net/images/anime/8/82394.jpg,https://api-cdn.myanimelist.net/images/anime/8/82394l.jpg,2011-07-05,8.59,tv,finished_airing,36,Slice of Life,6,Demons,37,Supernatural,8,Drama,13,2011,summer,1440,pg_13,112,Brain's Base,25,Shoujo,,,,,,,,,,,,,,,,,,
22135,Ping Pong the Animation,https://api-cdn.myanimelist.net/images/anime/10/58041.jpg,https://api-cdn.myanimelist.net/images/anime/10/58041l.jpg,2014-04-11,8.63,tv,finished_airing,8,Drama,40,Psychological,42,Seinen,30,Sports,11,2014,spring,1380,pg_13,103,Tatsunoko Production,,,,,,,,,,,,,,,,,,,,
21329,Mushishi: Hihamukage,https://api-cdn.myanimelist.net/images/anime/10/59315.jpg,https://api-cdn.myanimelist.net/images/anime/10/59315l.jpg,2014-01-04,8.57,special,finished_airing,2,Adventure,36,Slice of Life,7,Mystery,13,Historical,1,2014,winter,2700,pg_13,8,Artland,37,Supernatural,10,Fantasy,42,Seinen,,,,,,,,,,,,,,
31043,Boku dake ga Inai Machi,https://api-cdn.myanimelist.net/images/anime/10/77957.jpg,https://api-cdn.myanimelist.net/images/anime/10/77957l.jpg,2016-01-08,8.36,tv,finished_airing,7,Mystery,40,Psychological,37,Supernatural,42,Seinen,12,2016,winter,1380,r,56,A-1 Pictures,,,,,,,,,,,,,,,,,,,,
7785,Yojouhan Shinwa Taikei,https://api-cdn.myanimelist.net/images/anime/10/50457.jpg,https://api-cdn.myanimelist.net/images/anime/10/50457l.jpg,2010-04-23,8.6,tv,finished_airing,7,Mystery,4,Comedy,40,Psychological,22,Romance,11,2010,spring,1380,r,11,Madhouse,,,,,,,,,,,,,,,,,,,,
3297,Aria the Origination,https://api-cdn.myanimelist.net/images/anime/6/77623.jpg,https://api-cdn.myanimelist.net/images/anime/6/77623l.jpg,2008-01-08,8.53,tv,finished_airing,24,Sci-Fi,36,Slice of Life,10,Fantasy,27,Shounen,13,2008,winter,1460,g,34,Hal Film Maker,,,,,,,,,,,,,,,,,,,,
30709,Kamisama Hajimemashita: Kako-hen,https://api-cdn.myanimelist.net/images/anime/3/81250.jpg,https://api-cdn.myanimelist.net/images/anime/3/81250l.jpg,2015-08-20,8.37,ova,finished_airing,4,Comedy,6,Demons,37,Supernatural,22,Romance,4,2015,summer,1800,pg_13,73,TMS Entertainment,10,Fantasy,25,Shoujo,,,,,,,,,,,,,,,,
6114,Rainbow: Nisha Rokubou no Shichinin,https://api-cdn.myanimelist.net/images/anime/9/72697.jpg,https://api-cdn.myanimelist.net/images/anime/9/72697l.jpg,2010-04-07,8.51,tv,finished_airing,8,Drama,13,Historical,42,Seinen,41,Thriller,26,2010,spring,1360,r,11,Madhouse,,,,,,,,,,,,,,,,,,,,
31240,Re:Zero kara Hajimeru Isekai Seikatsu,https://api-cdn.myanimelist.net/images/anime/11/79410.jpg,https://api-cdn.myanimelist.net/images/anime/11/79410l.jpg,2016-04-04,8.28,tv,finished_airing,40,Psychological,8,Drama,41,Thriller,10,Fantasy,25,2016,spring,1530,r,314,White Fox,,,,,,,,,,,,,,,,,,,,
4565,Tengen Toppa Gurren Lagann Movie 2: Lagann-hen,https://api-cdn.myanimelist.net/images/anime/12/19698.jpg,https://api-cdn.myanimelist.net/images/anime/12/19698l.jpg,2009-04-22,8.57,movie,finished_airing,1,Action,18,Mecha,24,Sci-Fi,29,Space,1,2009,spring,7553,r+,6,Gainax,31,Super Power,,,,,,,,,,,,,,,,,,
5300,Zoku Natsume Yuujinchou,https://api-cdn.myanimelist.net/images/anime/4/79738.jpg,https://api-cdn.myanimelist.net/images/anime/4/79738l.jpg,2009-01-06,8.57,tv,finished_airing,36,Slice of Life,6,Demons,37,Supernatural,8,Drama,13,2009,winter,1449,pg_13,112,Brain's Base,25,Shoujo,,,,,,,,,,,,,,,,,,
9989,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,https://api-cdn.myanimelist.net/images/anime/5/79697.jpg,https://api-cdn.myanimelist.net/images/anime/5/79697l.jpg,2011-04-15,8.41,tv,finished_airing,36,Slice of Life,37,Supernatural,8,Drama,,,11,2011,spring,1370,pg_13,56,A-1 Pictures,,,,,,,,,,,,,,,,,,,,
